study,Publication_year,Species,genus,life_form,strategy,n1i,ai,n2i,ci,life_stage,fitness_component,treatment,first_year,location,climate,habitat,absolute_latitude,elevation(m)
Shevtsova,2009,Vaccinium_vitis-idaea,Vaccinium,shrub,perennial,840,44,120,7,seed,establish,infrared_heater,2007,Sweden,subalpine,shrubland,68.35,418
Shevtsova,2009,Dryas_octopetala,Dryas,shrub,perennial,840,26,120,23,seed,establish,infrared_heater,2007,Sweden,subalpine,shrubland,68.35,418
Shevtsova,2009,Silene_acaulis,Silene,herb,perennial,840,143,120,50,seed,establish,infrared_heater,2007,Sweden,subalpine,shrubland,68.35,418
Shevtsova,2009,Chamerion_angustifolium,Chamerion,herb,perennial,840,16,120,2,seed,establish,infrared_heater,2007,Sweden,subalpine,shrubland,68.35,418
Shevtsova,2009,Festuca_ovina,Festuca,graminoid,perennial,840,147,120,27,seed,establish,infrared_heater,2007,Sweden,subalpine,shrubland,68.35,418
Shevtsova,2009,Deschampsia_flexuosa,Deschampsia,graminoid,perennial,840,473,120,79,seed,establish,infrared_heater,2007,Sweden,subalpine,shrubland,68.35,418
Shevtsova,2009,Luzula_multiflora,Luzula,graminoid,perennial,840,57,120,24,seed,establish,infrared_heater,2007,Sweden,subalpine,shrubland,68.35,418
Shevtsova,2009,Vaccinium_uliginosum,Vaccinium,shrub,perennial,840,6,120,8,seed,establish,infrared_heater,2007,Sweden,subalpine,shrubland,68.35,418
Shevtsova,2009,Betula_nana,Betula,shrub,perennial,840,12,120,0,seed,establish,infrared_heater,2007,Sweden,subalpine,shrubland,68.35,418
Wipf_2006,2006,Empetrum_nigrum,Empetrum,shrub,perennial,36,27,36,33,adult,adult_survival,snow_removal,2002,Alaska,subarctic,tundra,64.95,850
Wipf_2006,2006,Vaccinium_vitis-idaea,Vaccinium,shrub,perennial,36,16,36,16,adult,adult_survival,snow_removal,2002,Alaska,subarctic,tundra,64.95,850
Wipf,2010,Rhododendron_tomentosum,Rhododendron,shrub,perennial,40,39,45,45,adult,adult_survival,snow_removal,2002,Alaska,tundra,tundra,64.95,850
Wipf,2010,Vaccinium_vitis-idaea,Vaccinium,shrub,perennial,39,31,44,39,adult,adult_survival,snow_removal,2002,Alaska,tundra,tundra,64.95,850
Wipf,2010,Empetrum_hermaphroditum,Empetrum,shrub,perennial,27,26,39,38,adult,adult_survival,snow_removal,2002,Alaska,tundra,tundra,64.95,850
Wipf,2010,Cassiope_tetragona,Cassiope,shrub,perennial,17,16,11,11,adult,adult_survival,snow_removal,2002,Alaska,tundra,tundra,64.95,850
Wipf,2010,Betula_nana,Betula,shrub,perennial,20,18,31,31,adult,adult_survival,snow_removal,2002,Alaska,tundra,tundra,64.95,850
Wipf,2010,Vaccinium_uliginosum,Vaccinium,shrub,perennial,32,30,38,35,adult,adult_survival,snow_removal,2002,Alaska,tundra,tundra,64.95,850
Wipf,2010,Carex_bigelowii,Carex,graminoid,perennial,32,32,39,39,adult,adult_survival,snow_removal,2002,Alaska,tundra,tundra,64.95,850
Wookey,1993,Empetrum_hermaphroditum,Empetrum,shrub,perennial,120,120,150,148,adult,adult_survival,warming,1991,Sweden,subarctic,shrubland,68.35,400
Wookey,1993,Vaccinium_myrtillus,Vaccinium,shrub,perennial,120,96,150,124,adult,adult_survival,warming,1991,Sweden,subarctic,shrubland,68.35,400
Wookey,1993,Vaccinium_vitis-idaea,Vaccinium,shrub,perennial,120,118,150,145,adult,adult_survival,warming,1991,Sweden,subarctic,shrubland,68.35,400
