"","lon","lat","lon.ind","lat.ind","ind","elev","airpr","year","abs","variable","value","absorp","fitcomp"
"86",-106.0625,40.5625,24,29,126,2761,72.26569548049,"1999",3,"fec",4.10297388070138,"wing absorptivity= 0.5","flight activity time (hr)"
"90",-105.4375,40.5625,29,29,131,2794,71.9646858290711,"1999",3,"fec",4.42222955339986,"wing absorptivity= 0.5","flight activity time (hr)"
"91",-105.3125,40.5625,30,29,132,2076,78.7479151141855,"1999",3,"fec",5.11362946479778,"wing absorptivity= 0.5","flight activity time (hr)"
"92",-105.1875,40.5625,31,29,133,1870,80.7867494915682,"1999",3,"fec",5.61339042799531,"wing absorptivity= 0.5","flight activity time (hr)"
"93",-105.0625,40.5625,32,29,134,1510,84.4522810887341,"1999",3,"fec",4.33606384868087,"wing absorptivity= 0.5","flight activity time (hr)"
"94",-104.9375,40.5625,33,29,135,1497,84.5871234553716,"1999",3,"fec",4.09041825092192,"wing absorptivity= 0.5","flight activity time (hr)"
"95",-108.8125,40.4375,2,28,138,2045,79.0520376224721,"1999",3,"fec",5.56905121095525,"wing absorptivity= 0.5","flight activity time (hr)"
"97",-108.5625,40.4375,4,28,140,1899,80.4971721136036,"1999",3,"fec",5.55044829377427,"wing absorptivity= 0.5","flight activity time (hr)"
"98",-108.4375,40.4375,5,28,141,1795,81.5395700903649,"1999",3,"fec",5.50163412817667,"wing absorptivity= 0.5","flight activity time (hr)"
"99",-108.3125,40.4375,6,28,142,1886,80.6268785425842,"1999",3,"fec",5.54710004073611,"wing absorptivity= 0.5","flight activity time (hr)"
"100",-108.1875,40.4375,7,28,143,1921,80.2780538670643,"1999",3,"fec",5.4895567694135,"wing absorptivity= 0.5","flight activity time (hr)"
"101",-108.0625,40.4375,8,28,144,1974,79.7521608177241,"1999",3,"fec",4.95604357170234,"wing absorptivity= 0.5","flight activity time (hr)"
"102",-107.9375,40.4375,9,28,145,1897,80.5171159437657,"1999",3,"fec",5.33381875658656,"wing absorptivity= 0.5","flight activity time (hr)"
"103",-107.8125,40.4375,10,28,146,1929,80.1984943543652,"1999",3,"fec",5.53181480064018,"wing absorptivity= 0.5","flight activity time (hr)"
"104",-107.6875,40.4375,11,28,147,1955,79.9403667521791,"1999",3,"fec",5.53518719872629,"wing absorptivity= 0.5","flight activity time (hr)"
"105",-107.5625,40.4375,12,28,148,2023,79.2684429045699,"1999",3,"fec",5.45463678965197,"wing absorptivity= 0.5","flight activity time (hr)"
"106",-107.4375,40.4375,13,28,149,2118,78.3373901342063,"1999",3,"fec",5.47716275653374,"wing absorptivity= 0.5","flight activity time (hr)"
"111",-106.8125,40.4375,18,28,154,2332,76.2724852938714,"1999",3,"fec",4.90243056227737,"wing absorptivity= 0.5","flight activity time (hr)"
"113",-106.5625,40.4375,20,28,156,2655,73.2394794456398,"1999",3,"fec",3.92454037993767,"wing absorptivity= 0.5","flight activity time (hr)"
"114",-106.4375,40.4375,21,28,157,2598,73.7674941431974,"1999",3,"fec",3.73026795354482,"wing absorptivity= 0.5","flight activity time (hr)"
