study,publication_year,species,genus,life_form,Strategy,m1i,sd1i,n1i,m2i,sd2i,n2i,fitness,level,treat,treatment,year,location,absolute_latitude,elevation(m),climate ,habitat,source
Liancourt,2012,Carex_spp.,Carex,graminoid,perennial,3.704464657,2.945376642,15,5.274727633,4.075640808,15,flowers,individual,passive_warming,passive_warming,2009,China,51.0166667,1735,montane,mountain steppe,Fig2
Liancourt,2012,Koeleria_macrantha,Koeleria,graminoid,perennial,3.951489008,4.887586325,15,7.587869096,7.888518862,15,flowers,individual,passive_warming,passive_warming,2009,China,51.0166667,1735,montane,mountain steppe,Fig2
Liancourt,2012,Potentilla_sericea,Potentilla,forb,perennial,2.201812584,3.912592058,15,3.028300603,5.747682556,15,flowers,individual,passive_warming,passive_warming,2009,China,51.0166667,1735,montane,mountain steppe,Fig2
Liancourt,2012,Artemisia_commutata,Artemisia,forb,perennial,1.815677613,1.027907259,15,1.867779211,1.018832979,15,flowers,individual,passive_warming,passive_warming,2009,China,51.0166667,1735,montane,mountain steppe,Fig2
Liancourt,2012,Dontostemon_integrifolius,Dontostemon,forb,annual,26.31569747,10.96065687,7,20.97054635,7.788622638,7,flowers,individual,passive_warming,passive_warming,2009,China,51.0166667,1735,montane,mountain steppe,Fig2
Liancourt,2012,Thymus_gobicus,Thymus,forb,perennial,11.75746795,13.29181458,15,14.18731267,14.13749154,15,flowers,individual,passive_warming,passive_warming,2009,China,51.0166667,1735,montane,mountain steppe,Fig2
Llorens,2005,Erica_multiflora,Erica ,shrub,perennial,172.7272727,146.6175099,19,250.9090909,161.3143331,23,flowers,individual,drought,drought,1999,Spain,41.4666667,210,Mediterranean,shrubland,Fig5
Llorens,2005,Globularia_alypum,Globularia,shrub,perennial,1.6,2.915475947,34,2.3,6.997142274,34,flowers,individual,drought,drought,2000,Spain,41.4666667,210,Mediterranean,shrubland,text
Matesanz,2009,Centaurea_hyssopifolia,Centaurea,forb,perennial,261.5,395.8810171,60,414.75,479.8720036,60,seeds,individual,drought,drought,2005,Spain,40.05,754,Mediterranean,meadow,AppendixD
Nylehn and Totland,1999,Euphrasia_frigida,Euphrasia,forb,annual,23.7,9.803060747,10,12.7,5.059644256,10,seeds,individual,passive_warming,passive_warming,1995,Norway,60.6166667,1429,alpine,meadow,Table1
Penuelas ,2004,Arbutus_unedo,Arbutus,tree,perennial,0.184079602,0.407960199,4,0.611940299,0.776119403,4,fruits,individual,drought,drought,2000,Spain,41.2166667,930,Mediterranean,forest,Fig2a
Penuelas ,2004,Phillyrea_latifolia,Phillyrea,tree,perennial,0.211777631,0.073566249,4,0.191474401,0.103361898,4,fruits,individual,drought,drought,2000,Spain,41.2166667,930,Mediterranean,forest,Fig2a
Penuelas ,2004,Globularia_alypum,Globularia,tree,perennial,37.09677419,31.28865975,3,193.2258065,113.9801177,3,recruitment,plot,drought,drought,2001,Spain,41.3,210,Mediterranean,shrubland,Fig2b
Penuelas ,2004,Erica_multiflora,Erica,tree,perennial,33.33333333,39.97040325,3,348.7179487,355.2924733,3,recruitment,plot,drought,drought,2001,Spain,41.3,210,Mediterranean,shrubland,Fig2b
Pfeifer-Meister,2013,Thysanocarpus_radians,Thysanocarpus,forb,annual,0.00001,0.00001,10,0.007733027,0.009144607,10,seeds,individual,active_warming,active_warming,2011,USA,42.2780556,394,temperate,grassland,AppendixF
Pfeifer-Meister,2013,Achyrachaena_mollis,Achyrachaena,forb,annual,0.014141173,0.017815727,10,0.061838954,0.060169408,10,seeds,individual,active_warming,active_warming,2011,USA,42.2780556,394,temperate,grassland,AppendixF
Pfeifer-Meister,2013,Navarretia_pubescens,Navarretia,forb,annual,0.001828672,0.005152637,10,0.041352794,0.034597129,10,seeds,individual,active_warming,active_warming,2011,USA,42.2780556,394,temperate,grassland,AppendixF
Pfeifer-Meister,2013,Aristida_oligantha,Aristida,graminoid,annual,0.016248872,0.027569221,20,0.019605443,0.039581168,20,seeds,individual,active_warming,active_warming,2011,USA,43.15208335,279.5,temperate,grassland,AppendixF
Pfeifer-Meister,2013,Clarkia_purpurea,Clarkia,forb,annual,0.44622642,0.854121059,30,0.526330595,1.015360031,30,seeds,individual,active_warming,active_warming,2011,USA,44.4001852,231,temperate,grassland,AppendixF
Pfeifer-Meister,2013,Collinsia_grandiflora,Collinsia,forb,annual,0.01252674,0.022627662,30,0.040313266,0.054672984,30,seeds,individual,active_warming,active_warming,2011,USA,44.4001852,231,temperate,grassland,AppendixF
Pratt and Mooney,2013,Artemisia_californica,Artemisia,shrub,perennial,190775.7723,171228.6431,3,425828.7053,155109.0275,3,flowers,plot,drought,drought,2009,USA,33.65,16,Mediterranean,shrubland,Fig2c
Rodriguez-Calcerrada,2013,Buxus_sempervirens,Buxus,tree,perennial,0.32,0.641560597,21,0.76,1.328946952,21,fruits,individual,drought,drought,2003,France,43.7413889,270,Mediterranean,forest,Table3
Saavedra,2003,Delphinium_nuttallianum,Delphinium,forb,perennial,4.634615385,0.190100078,5,5.181490385,0.180901688,5,flowers,individual,active_warming,active_warming,1994,USA,38.95,2900,subalpine,meadow,Fig3
Stenstrom,2006,Carex_bigelowii,Carex,graminoid,perennial,27.3,8.221921916,10,20,6.008327554,10,seeds,plot,passive_warming,passive_warming,1998,Sweden,68.36,1000,subarctic,shrubland,Table4
Thurig,2003,Anthoxanthum_odoratum,Anthoxanthum,graminoid,perennial,74,67.88225099,8,46,48.08326112,8,seeds,plot,CO2,CO2,1998,Switzerland,NA,520,temperate,grassland,Table1
Thurig,2003,Briza_media,Briza,graminoid,perennial,194,288.4995667,8,206,345.0681092,8,seeds,plot,CO2,CO2,1998,Switzerland,NA,520,temperate,grassland,Table1
Thurig,2003,Bromus_erectus,Bromus ,graminoid,perennial,3730,2019.496967,8,2900,735.3910524,8,seeds,plot,CO2,CO2,1998,Switzerland,NA,520,temperate,grassland,Table1
Thurig,2003,Carex_caryophyllea,Carex,graminoid,perennial,908,780.6458864,8,560,576.9991334,8,seeds,plot,CO2,CO2,1998,Switzerland,NA,520,temperate,grassland,Table1
Thurig,2003,Carex_flacca,Carex,graminoid,perennial,209,257.3868684,8,19,28.28427125,8,seeds,plot,CO2,CO2,1998,Switzerland,NA,520,temperate,grassland,Table1
Thurig,2003,Danthonia_decumbens,Dathonia,graminoid,perennial,33,39.59797975,8,37,76.36753237,8,seeds,plot,CO2,CO2,1998,Switzerland,NA,520,temperate,grassland,Table1
Thurig,2003,Bellis_perennis,Bellis,forb,perennial,25,45.254834,8,4,8.485281374,8,seeds,plot,CO2,CO2,1998,Switzerland,NA,520,temperate,grassland,Table1
Thurig,2003,Hieracium_pilosella,Hieracium,forb,perennial,40,59.39696962,8,15,28.28427125,8,seeds,plot,CO2,CO2,1998,Switzerland,NA,520,temperate,grassland,Table1
Thurig,2003,Knautia_arvensis,Knautia,forb,perennial,105,147.0782105,8,50,62.22539674,8,seeds,plot,CO2,CO2,1998,Switzerland,NA,520,temperate,grassland,Table1
Thurig,2003,Linum_catharticum,Linum ,forb,annual,2547,2259.913273,8,2124,2534.270704,8,seeds,plot,CO2,CO2,1998,Switzerland,NA,520,temperate,grassland,Table1
Thurig,2003,Prunella_vulgaris,Prunella,forb,perennial,105,158.391919,8,69,82.02438662,8,seeds,plot,CO2,CO2,1998,Switzerland,NA,520,temperate,grassland,Table1
Thurig,2003,Salvia_pratensis,Salvia,forb,perennial,99,189.5046174,8,237,407.293506,8,seeds,plot,CO2,CO2,1998,Switzerland,NA,520,temperate,grassland,Table1
Thurig,2003,Sanguisorba_minor,Sanguisorba,forb,perennial,351,316.783838,8,402,251.7300141,8,seeds,plot,CO2,CO2,1998,Switzerland,NA,520,temperate,grassland,Table1
